ID,question,state,state name,State Id,year,applies to,response,citations,cautions
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,Alabama,1,1991,All,No,,
2,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,Alaska,2,1991,All,No,,
3,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,Arizona,3,1991,All,No,,
4,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,Arkansas,4,1991,All,No,,
5,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,California,5,1991,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",
6,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,Colorado,6,1991,All,No,,
7,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,Connecticut,7,1991,All,No,,
8,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,Delaware,8,1991,All,No,,
9,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,Florida,9,1991,All,No,,
10,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,Georgia,10,1991,All,No,,
11,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,Hawaii,11,1991,All,Yes,Haw. Rev. Stat. §134-2,
12,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,Idaho,12,1991,All,No,,
13,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,Illinois,13,1991,All,Yes,"Ill. Rev. Stat., Ch. 38, para. 83-2; Ill. Rev. Stat., Ch. Ch.38, para. 83-3",
14,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,Indiana,14,1991,All,Yes,Ind. Code § 35-47-2-9,
15,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,Iowa,15,1991,All,Yes,Iowa Code § 724.15,
16,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,Kansas,16,1991,All,No,,
17,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,Kentucky,17,1991,All,No,,
18,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,Louisiana,18,1991,All,No,,
19,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,Maine,19,1991,All,No,,
20,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,Maryland,20,1991,All,No,,
21,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,Massachusetts,21,1991,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",
22,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,Michigan,22,1991,All,Yes,"MCLS §§ 28.422, 28.426",
23,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,Minnesota,23,1991,All,No,,
24,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,Mississippi,24,1991,All,No,,
25,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,Missouri,25,1991,All,Yes,§ 571.090 R.S.Mo,
26,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,Montana,26,1991,All,No,,
27,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,Nebraska,27,1991,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",
28,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,Nevada,28,1991,All,No,,
29,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,New Hampshire,29,1991,All,No,,
30,Does state law require criminal background checks for gun sales by unlicensed sellers?,NJ,New Jersey,30,1991,All,Yes,"N.J. Stat. § 2C:58-3(a), (b)",
31,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,New Mexico,31,1991,All,No,,
32,Does state law require criminal background checks for gun sales by unlicensed sellers?,NY,New York,32,1991,All,Yes,N.Y. Penal Law § 400.00(4),
33,Does state law require criminal background checks for gun sales by unlicensed sellers?,NC,North Carolina,33,1991,All,Yes,N.C. Gen. Stat. § 14-402(a),
34,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,North Dakota,34,1991,All,No,,
35,Does state law require criminal background checks for gun sales by unlicensed sellers?,OH,Ohio,35,1991,All,No,,
36,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,Oklahoma,36,1991,All,No,,
37,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,Oregon,37,1991,All,No,,
38,Does state law require criminal background checks for gun sales by unlicensed sellers?,PA,Pennsylvania,38,1991,All,No,,"While no background check was required, these sales were addressed by state law. Prior to making a purchase, a buyer was required to fill out an application for purchase, which the seller sent to local law enforcement. The firearm could not be delivered until 48 hours elapsed from the time of application. 18 Pa. Cons. Stat. § 6111(b)."
39,Does state law require criminal background checks for gun sales by unlicensed sellers?,RI,Rhode Island,39,1991,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2); R.I. Gen. Laws § 11-47-35.2(b),
40,Does state law require criminal background checks for gun sales by unlicensed sellers?,SC,South Carolina,40,1991,All,No,,
41,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,South Dakota,41,1991,All,No,,
42,Does state law require criminal background checks for gun sales by unlicensed sellers?,TN,Tennessee,42,1991,All,No,,"While no background check was required, these sales were addressed by state law. Prior to making a purchase, a buyer was required to fill out a certification that he was not prohibited, which the seller sent to law enforcement. The firearm could not be delivered until 15 days elapsed from the time of application. Tenn. Code Ann. § 39-17-1316(b)."
